date,action,price_reward,MACD_reward,multiple_MACD_cross_reward,RSI_reward,MACD_cross_reward,current_MACD_cross_0,current_price,current_MACD_histrogram,total_reward,cash_balance,stock_owned,total_assets
2023-01-26,0,0.0,0,0,0.0,0.0,2.0,2379.171142578125,-0.6828383111299985,0.0,10000.0,0.0,10000.0
2023-01-27,1,0.013191996252299476,0,0,0.0,0.01,0.0,2419.375244140625,0.09452995518520879,0.023191996252299476,322.4990234375,4.0,10000.0
2023-01-30,2,0.0,0,0,0.19217639399154707,-0.01,-2.0,2452.57373046875,1.6452968104402999,0.18217639399154706,10132.7939453125,0.0,10132.7939453125
2023-01-31,0,0.0,0,0,0.0,0.0,0.0,2425.177001953125,-2.0190733448652054,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-01,0,0.0,0,0,0.0,0.0,0.0,2422.311279296875,-4.805495041764537,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-02,0,0.0,0,0,0.0,0.0,0.0,2433.894775390625,-5.452024943410393,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-03,0,0.0,0,0,0.0,0.0,0.0,2442.80126953125,-5.3368053103487085,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-06,0,0.0,0,0,0.0,0.0,0.0,2443.1796875,-5.606298265446789,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-07,0,0.0,0,0,0.0,0.0,0.0,2457.9873046875,-4.640395572603751,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-08,0,0.0,0,0,0.0,0.0,0.0,2475.143798828125,-3.1170484383910235,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-09,0,0.0,0,0,0.0,0.0,0.0,2413.3349609375,-8.380072949421965,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-10,0,0.0,0,0,0.0,0.0,0.0,2424.321533203125,-8.814429968647474,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-13,0,0.0,0,0,0.0,0.0,0.0,2336.99658203125,-15.67977673972808,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-14,0,0.0,0,0,0.0,0.0,0.0,2411.294677734375,-9.565167300218773,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-15,0,0.0,0,0,0.0,0.0,2.0,2459.082275390625,-1.8967070287458103,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-16,0,0.0,0,0,0.0,0.0,0.0,2504.391845703125,4.783927025699455,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-17,0,0.0,0,0,0.0,0.0,-2.0,2481.10498046875,3.9440993964090403,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-21,0,0.0,0,0,0.0,0.0,0.0,2450.0859375,-0.2346721751466916,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-22,0,0.0,0,0,0.0,0.0,0.0,2413.74267578125,-5.342051545497508,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-23,0,0.0,0,0,0.0,0.0,0.0,2414.95703125,-6.566867007589513,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-24,0,0.0,0,0,0.0,0.0,0.0,2414.738037109375,-6.16111202760508,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-27,0,0.0,0,0,0.0,0.0,2.0,2440.60205078125,-2.892966301332592,0.0,10132.7939453125,0.0,10132.7939453125
2023-02-28,0,0.0,0,0,0.0,0.0,0.0,2508.869873046875,4.5215818775273995,0.0,10132.7939453125,0.0,10132.7939453125
2023-03-01,0,0.0,0,0,0.0,0.0,0.0,2511.775634765625,6.451421900749089,0.0,10132.7939453125,0.0,10132.7939453125
2023-03-02,0,0.0,0,0,0.0,0.0,0.0,2539.95849609375,8.081166859336754,0.0,10132.7939453125,0.0,10132.7939453125
